date,DayOfWeek,TimeOfDay,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
04/02/2015 17:51,4,17.00,23.18,27.272,426,721.25,0.004792988,1
04/02/2015 17:51,4,17.00,23.15,27.2675,429.5,714,0.004783441,1
04/02/2015 17:53,4,17.00,23.15,27.245,426,713.5,0.004779464,1
04/02/2015 17:54,4,17.00,23.15,27.2,426,708.25,0.004771509,1
04/02/2015 17:55,4,17.00,23.1,27.2,426,704.5,0.004756993,1
04/02/2015 17:55,4,17.00,23.1,27.2,419,701,0.004756993,1
04/02/2015 17:57,4,17.00,23.1,27.2,419,701.6666667,0.004756993,1
04/02/2015 17:57,4,17.00,23.1,27.2,419,699,0.004756993,1
04/02/2015 17:58,4,17.00,23.1,27.2,419,689.3333333,0.004756993,1
04/02/2015 18:00,4,18.00,23.075,27.175,419,688,0.004745351,1
04/02/2015 18:01,4,18.00,23.075,27.15,419,690.25,0.004740952,1
04/02/2015 18:02,4,18.00,23.1,27.1,419,691,0.004739371,1
04/02/2015 18:03,4,18.00,23.1,27.16666667,419,683.5,0.004751119,1
04/02/2015 18:04,4,18.00,23.05,27.15,419,687.5,0.004733732,1
04/02/2015 18:04,4,18.00,23,27.125,419,686,0.004714942,1
04/02/2015 18:06,4,18.00,23,27.125,418.5,680.5,0.004714942,1
04/02/2015 18:07,4,18.00,23,27.2,0,681.5,0.004728078,0
04/02/2015 18:08,4,18.00,22.945,27.29,0,685,0.004727951,0
04/02/2015 18:08,4,18.00,22.945,27.39,0,685,0.004745408,0
04/02/2015 18:10,4,18.00,22.89,27.39,0,689,0.004729506,0
04/02/2015 18:10,4,18.00,22.89,27.39,0,689.5,0.004729506,0
04/02/2015 18:11,4,18.00,22.89,27.39,0,689,0.004729506,0
04/02/2015 18:13,4,18.00,22.89,27.445,0,691,0.004739076,0
04/02/2015 18:14,4,18.00,22.89,27.5,0,688,0.004748645,0
04/02/2015 18:15,4,18.00,22.89,27.5,0,689.5,0.004748645,0
04/02/2015 18:16,4,18.00,22.79,27.445,0,689,0.004710224,0
04/02/2015 18:16,4,18.00,22.79,27.5,0,685.6666667,0.004719735,0
04/02/2015 18:17,4,18.00,22.79,27.5,0,687,0.004719735,0
04/02/2015 18:19,4,18.00,22.79,27.5,0,688,0.004719735,0
04/02/2015 18:20,4,18.00,22.745,27.5,0,670,0.004706776,0
04/02/2015 18:21,4,18.00,22.7,27.46333333,0,668.6666667,0.004687543,0
04/02/2015 18:22,4,18.00,22.7,27.5,0,670,0.004693849,0
04/02/2015 18:23,4,18.00,22.7,27.5,0,667,0.004693849,0
04/02/2015 18:23,4,18.00,22.66666667,27.42666667,0,664.5,0.004671708,0
04/02/2015 18:24,4,18.00,22.7,27.6,0,670,0.004711047,0
04/02/2015 18:26,4,18.00,22.6,27.42666667,0,670.3333333,0.004652699,0
04/02/2015 18:27,4,18.00,22.6,27.39,0,672,0.004646433,0
04/02/2015 18:28,4,18.00,22.6,27.35666667,0,658,0.004640736,0
04/02/2015 18:29,4,18.00,22.6,27.445,0,660.5,0.004655833,0
04/02/2015 18:29,4,18.00,22.6,27.42666667,0,658,0.004652699,0
04/02/2015 18:30,4,18.00,22.6,27.445,0,655,0.004655833,0
04/02/2015 18:32,4,18.00,22.6,27.445,0,654.25,0.004655833,0
04/02/2015 18:33,4,18.00,22.6,27.39,0,648,0.004646433,0
04/02/2015 18:34,4,18.00,22.5,27.32333333,0,648.6666667,0.004606763,0
04/02/2015 18:35,4,18.00,22.5,27.445,0,646,0.004627429,0
04/02/2015 18:36,4,18.00,22.5,27.5,0,646,0.004636772,0
04/02/2015 18:36,4,18.00,22.5,27.445,0,641.5,0.004627429,0
04/02/2015 18:38,4,18.00,22.39,27.29,0,639,0.004570212,0
04/02/2015 18:39,4,18.00,22.5,27.5,0,640,0.004636772,0
04/02/2015 18:40,4,18.00,22.39,27.34,0,630.5,0.004578647,0
04/02/2015 18:40,4,18.00,22.39,27.35666667,0,629.3333333,0.004581459,0
04/02/2015 18:42,4,18.00,22.39,27.5,0,632,0.004605641,0
04/02/2015 18:42,4,18.00,22.39,27.5,0,636.5,0.004605641,0
04/02/2015 18:43,4,18.00,22.39,27.5,0,627.5,0.004605641,0
04/02/2015 18:45,4,18.00,22.39,27.39,0,626,0.004587082,0
04/02/2015 18:46,4,18.00,22.39,27.5,0,625.5,0.004605641,0
04/02/2015 18:47,4,18.00,22.34,27.39,0,623.5,0.00457305,0
04/02/2015 18:48,4,18.00,22.39,27.46333333,0,624.6666667,0.004599455,0
04/02/2015 18:49,4,18.00,22.39,27.39,0,622,0.004587082,0
04/02/2015 18:49,4,18.00,22.29,27.39,0,621,0.004559056,0
04/02/2015 18:51,4,18.00,22.34,27.39,0,626.5,0.00457305,0
04/02/2015 18:52,4,18.00,22.29,27.39,0,622,0.004559056,0
04/02/2015 18:53,4,18.00,22.39,27.39,0,620,0.004587082,0
04/02/2015 18:53,4,18.00,22.29,27.39,0,621.5,0.004559056,0
04/02/2015 18:55,4,18.00,22.29,27.35666667,0,616.3333333,0.004553467,0
04/02/2015 18:55,4,18.00,22.29,27.34,0,609,0.004550673,0
04/02/2015 18:56,4,18.00,22.29,27.39,0,614,0.004559056,0
04/02/2015 18:58,4,18.00,22.29,27.34,0,613.5,0.004550673,0
04/02/2015 18:59,4,18.00,22.29,27.34,0,611,0.004550673,0
04/02/2015 19:00,4,19.00,22.29,27.39,0,612,0.004559056,0
04/02/2015 19:01,4,19.00,22.29,27.29,0,608,0.00454229,0
04/02/2015 19:01,4,19.00,22.29,27.29,0,605.5,0.00454229,0
04/02/2015 19:02,4,19.00,22.2675,27.315,0,608.5,0.004540214,0
04/02/2015 19:04,4,19.00,22.2,27.29,0,608.5,0.004517288,0
04/02/2015 19:05,4,19.00,22.245,27.29,0,602.5,0.004529774,0
04/02/2015 19:06,4,19.00,22.2,27.29,0,598,0.004517288,0
04/02/2015 19:07,4,19.00,22.2,27.29,0,595,0.004517288,0
04/02/2015 19:08,4,19.00,22.2,27.29,0,591,0.004517288,0
04/02/2015 19:08,4,19.00,22.245,27.245,0,591,0.00452225,0
04/02/2015 19:09,4,19.00,22.2,27.2,0,595,0.004502283,0
04/02/2015 19:11,4,19.00,22.2,27.29,0,594.3333333,0.004517288,0
04/02/2015 19:12,4,19.00,22.2,27.29,0,593.5,0.004517288,0
04/02/2015 19:13,4,19.00,22.2,27.29,0,592,0.004517288,0
04/02/2015 19:14,4,19.00,22.15,27.245,0,586.5,0.004495971,0
04/02/2015 19:14,4,19.00,22.2,27.2,0,586,0.004502283,0
04/02/2015 19:15,4,19.00,22.15,27.245,0,586,0.004495971,0
04/02/2015 19:17,4,19.00,22.2,27.245,0,584.5,0.004509785,0
04/02/2015 19:18,4,19.00,22.1,27.245,0,584.5,0.004482195,0
04/02/2015 19:19,4,19.00,22.1,27.2,0,585.5,0.004474738,0
04/02/2015 19:20,4,19.00,22.13333333,27.2,0,584.6666667,0.004483903,0
04/02/2015 19:21,4,19.00,22.2,27.2,0,577,0.004502283,0
04/02/2015 19:21,4,19.00,22.1,27.2,0,580,0.004474738,0
04/02/2015 19:23,4,19.00,22.125,27.2,0,582,0.00448161,0
04/02/2015 19:24,4,19.00,22.2,27.2,0,580,0.004502283,0
04/02/2015 19:25,4,19.00,22.1,27.15,0,578,0.004466454,0
04/02/2015 19:25,4,19.00,22.1,27.2,0,576.5,0.004474738,0
04/02/2015 19:27,4,19.00,22.1,27.2,0,580,0.004474738,0
04/02/2015 19:27,4,19.00,22.1,27.2,0,572.5,0.004474738,0
04/02/2015 19:28,4,19.00,22.1,27.2,0,567,0.004474738,0
04/02/2015 19:30,4,19.00,22.1,27.2,0,568,0.004474738,0
04/02/2015 19:31,4,19.00,22.1,27.2,0,574.5,0.004474738,0
04/02/2015 19:32,4,19.00,22.1,27.2,0,564.3333333,0.004474738,0
04/02/2015 19:33,4,19.00,22.1,27.2,0,563,0.004474738,0
04/02/2015 19:34,4,19.00,22.1,27.15,0,564.5,0.004466454,0
04/02/2015 19:34,4,19.00,22.06666667,27.16666667,0,566.3333333,0.004460078,0
04/02/2015 19:36,4,19.00,22.1,27.1,0,562,0.004458169,0
04/02/2015 19:37,4,19.00,22,27.1,0,565.5,0.004430876,0
04/02/2015 19:38,4,19.00,22,27.1,0,570,0.004430876,0
04/02/2015 19:38,4,19.00,22.05,27.15,0,562,0.004452763,0
04/02/2015 19:40,4,19.00,22,27.1,0,560,0.004430876,0
04/02/2015 19:40,4,19.00,22,27.1,0,558,0.004430876,0
04/02/2015 19:41,4,19.00,22,27.1,0,556,0.004430876,0
04/02/2015 19:43,4,19.00,22,27.1,0,557,0.004430876,0
04/02/2015 19:44,4,19.00,21.9175,27.1,0,556.5,0.004408469,0
04/02/2015 19:45,4,19.00,21.945,27.1,0,557.5,0.004415927,0
04/02/2015 19:46,4,19.00,21.92666667,27.1,0,555,0.004410954,0
04/02/2015 19:46,4,19.00,21.89,27.1,0,555,0.004401023,0
04/02/2015 19:47,4,19.00,21.89,27.1,0,553,0.004401023,0
04/02/2015 19:49,4,19.00,21.89,27.1,0,549.5,0.004401023,0
04/02/2015 19:50,4,19.00,21.89,27.1,0,548.5,0.004401023,0
04/02/2015 19:51,4,19.00,21.89,27.1,0,551.5,0.004401023,0
04/02/2015 19:52,4,19.00,21.89,27.1,0,548.5,0.004401023,0
04/02/2015 19:53,4,19.00,21.89,27.1,0,548,0.004401023,0
04/02/2015 19:53,4,19.00,21.89,27.1,0,547.5,0.004401023,0
04/02/2015 19:54,4,19.00,21.89,27.1,0,553,0.004401023,0
04/02/2015 19:56,4,19.00,21.84,27.1,0,547.5,0.004387512,0
04/02/2015 19:57,4,19.00,21.85666667,27.1,0,548.6666667,0.004392012,0
04/02/2015 19:58,4,19.00,21.79,27.1,0,540,0.004374038,0
04/02/2015 19:59,4,19.00,21.79,27.1,0,538,0.004374038,0
04/02/2015 19:59,4,19.00,21.79,27.1,0,542,0.004374038,0
04/02/2015 20:00,4,20.00,21.79,27.1,0,542,0.004374038,0
04/02/2015 20:02,4,20.00,21.79,27.1,0,538,0.004374038,0
04/02/2015 20:03,4,20.00,21.79,27.1,0,537.6666667,0.004374038,0
04/02/2015 20:04,4,20.00,21.79,27.1,0,537.5,0.004374038,0
04/02/2015 20:05,4,20.00,21.79,27.1,0,536,0.004374038,0
04/02/2015 20:06,4,20.00,21.745,27.1,0,534.5,0.004361943,0
04/02/2015 20:06,4,20.00,21.7,27.1,0,532.5,0.004349877,0
04/02/2015 20:08,4,20.00,21.76,27.1,0,530,0.004365971,0
04/02/2015 20:09,4,20.00,21.745,27.05,0,529.5,0.004353839,0
04/02/2015 20:10,4,20.00,21.79,27.05,0,531,0.004365912,0
04/02/2015 20:10,4,20.00,21.73,27,0,533.3333333,0.004341725,0
04/02/2015 20:12,4,20.00,21.745,27,0,531,0.004345735,0
04/02/2015 20:12,4,20.00,21.745,27,0,529,0.004345735,0
04/02/2015 20:13,4,20.00,21.745,27,0,528.5,0.004345735,0
04/02/2015 20:15,4,20.00,21.7,27,0,525,0.004333714,0
04/02/2015 20:16,4,20.00,21.7,27,0,528.5,0.004333714,0
04/02/2015 20:17,4,20.00,21.7,27,0,530.5,0.004333714,0
04/02/2015 20:18,4,20.00,21.7,26.89,0,528,0.004315936,0
04/02/2015 20:19,4,20.00,21.7,26.89,0,526,0.004315936,0
04/02/2015 20:19,4,20.00,21.7,26.89,0,530,0.004315936,0
04/02/2015 20:21,4,20.00,21.7,26.89,0,533.3333333,0.004315936,0
04/02/2015 20:22,4,20.00,21.7,26.89,0,529,0.004315936,0
04/02/2015 20:23,4,20.00,21.7,26.89,0,528,0.004315936,0
04/02/2015 20:23,4,20.00,21.7,26.89,0,526,0.004315936,0
04/02/2015 20:25,4,20.00,21.7,26.89,0,526,0.004315936,0
04/02/2015 20:25,4,20.00,21.7,26.79,0,521,0.004299774,0
04/02/2015 20:26,4,20.00,21.7,26.79,0,518,0.004299774,0
04/02/2015 20:28,4,20.00,21.7,26.79,0,515.5,0.004299774,0
04/02/2015 20:29,4,20.00,21.7,26.79,0,520,0.004299774,0
04/02/2015 20:30,4,20.00,21.7,26.7675,0,523.5,0.004296138,0
04/02/2015 20:31,4,20.00,21.7,26.79,0,525.5,0.004299774,0
04/02/2015 20:31,4,20.00,21.7,26.79,0,525.5,0.004299774,0
04/02/2015 20:32,4,20.00,21.7,26.79,0,514,0.004299774,0
04/02/2015 20:34,4,20.00,21.7,26.7,0,518,0.00428523,0
04/02/2015 20:35,4,20.00,21.7,26.7,0,518,0.00428523,0
04/02/2015 20:36,4,20.00,21.7,26.7,0,520,0.00428523,0
04/02/2015 20:37,4,20.00,21.6,26.7,0,521,0.004258922,0
04/02/2015 20:38,4,20.00,21.6,26.6,0,518,0.004242862,0
04/02/2015 20:38,4,20.00,21.6,26.65,0,517,0.004250892,0
04/02/2015 20:39,4,20.00,21.6,26.6,0,511.5,0.004242862,0
04/02/2015 20:41,4,20.00,21.65,26.65,0,514,0.004264003,0
04/02/2015 20:42,4,20.00,21.6,26.55,0,515.5,0.004234832,0
04/02/2015 20:43,4,20.00,21.6,26.5,0,517,0.004226803,0
04/02/2015 20:44,4,20.00,21.6,26.5,0,515,0.004226803,0
04/02/2015 20:44,4,20.00,21.6,26.5,0,512,0.004226803,0
04/02/2015 20:45,4,20.00,21.6,26.5,0,515,0.004226803,0
04/02/2015 20:47,4,20.00,21.65,26.55,0,511,0.004247894,0
04/02/2015 20:48,4,20.00,21.6,26.5,0,514,0.004226803,0
04/02/2015 20:49,4,20.00,21.6,26.445,0,508,0.004217971,0
04/02/2015 20:50,4,20.00,21.6,26.4725,0,509.75,0.004222387,0
04/02/2015 20:51,4,20.00,21.6,26.445,0,508.75,0.004217971,0
04/02/2015 20:51,4,20.00,21.6,26.445,0,508.5,0.004217971,0
04/02/2015 20:53,4,20.00,21.6,26.39,0,507,0.004209139,0
04/02/2015 20:54,4,20.00,21.6,26.39,0,507,0.004209139,0
04/02/2015 20:55,4,20.00,21.6,26.39,0,503.5,0.004209139,0
04/02/2015 20:55,4,20.00,21.6,26.39,0,504,0.004209139,0
04/02/2015 20:57,4,20.00,21.6,26.39,0,504,0.004209139,0
04/02/2015 20:57,4,20.00,21.575,26.315,0,500.5,0.004190637,0
04/02/2015 20:58,4,20.00,21.6,26.29,0,500,0.004193082,0
04/02/2015 21:00,4,21.00,21.6,26.29,0,503.5,0.004193082,0
04/02/2015 21:01,4,21.00,21.55,26.245,0,503,0.004172982,0
04/02/2015 21:02,4,21.00,21.55,26.245,0,502.5,0.004172982,0
04/02/2015 21:03,4,21.00,21.5,26.2,0,502,0.004152962,0
04/02/2015 21:04,4,21.00,21.56666667,26.2,0,502,0.004170059,0
04/02/2015 21:04,4,21.00,21.5,26.2,0,502.5,0.004152962,0
04/02/2015 21:06,4,21.00,21.5,26.2,0,497,0.004152962,0
04/02/2015 21:07,4,21.00,21.5,26.15,0,501.5,0.004144984,0
04/02/2015 21:08,4,21.00,21.5,26.15,0,504,0.004144984,0
04/02/2015 21:08,4,21.00,21.5,26.1,0,501,0.004137006,0
04/02/2015 21:10,4,21.00,21.5,26.1,0,493.75,0.004137006,0
04/02/2015 21:10,4,21.00,21.5,26.1,0,500,0.004137006,0
04/02/2015 21:11,4,21.00,21.5,26.1,0,504.5,0.004137006,0
04/02/2015 21:13,4,21.00,21.5,26.05,0,504,0.004129028,0
04/02/2015 21:14,4,21.00,21.5,26.1,0,501,0.004137006,0
04/02/2015 21:15,4,21.00,21.5,26,0,499,0.00412105,0
04/02/2015 21:16,4,21.00,21.5,26,0,502,0.00412105,0
04/02/2015 21:16,4,21.00,21.5,26,0,503.5,0.00412105,0
